"Sub"/"Number"/"Breadth"/"Title"/"Unit"
"57"/"AFRICAM"/"173AC"/"Social and Behavioral Sciences"/"Gandhi and the Civil Rights Movement in America"/3
"58"/"AFRICAM"/"190AC"/NA/"Advanced Seminar in African Diaspora Studies"/3
"59"/"AFRICAM"/"19A"/"International Studies"/"Advanced Zulu"/4
"60"/"AFRICAM"/"19B"/"International Studies"/"Advanced Zulu"/4
"61"/"AFRICAM"/"39B"/NA/"Freshman/Sophmore Seminar"/2
"62"/"AFRICAM"/"39D"/NA/"Freshman/Sophmore Seminar"/2
"63"/"AFRICAM"/"4A"/"Social and Behavioral Sciences"/"Africa: History and Culture"/4
"64"/"AFRICAM"/"4A"/"Historical Studies"/"Africa: History and Culture"/4
"65"/"AFRICAM"/"4B"/"Historical Studies"/"Africa: History and Culture"/4
"66"/"AFRICAM"/"4B"/"International Studies"/"Africa: History and Culture"/4
"67"/"AFRICAM"/"4B"/"Social and Behavioral Sciences"/"Africa: History and Culture"/4
"68"/"AFRICAM"/"5A"/"Social and Behavioral Sciences"/"African American Life and Culture in the United States"/4
"69"/"AFRICAM"/"5A"/"Historical Studies"/"African American Life and Culture in the United States"/4
"70"/"AFRICAM"/"5B"/"Social and Behavioral Sciences"/"African American Life and Culture in the United States"/4
"71"/"AFRICAM"/"5B"/"Historical Studies"/"African American Life and Culture in the United States"/4
"72"/"AFRICAM"/"7A"/NA/"Elementary Wolof"/4
"73"/"AFRICAM"/"7B"/NA/"Elementary Wolof"/4
"74"/"AFRICAM"/"8A"/"International Studies"/"Intermediate Wolof"/4
"75"/"AFRICAM"/"8B"/"International Studies"/"Intermediate Wolof"/4
"76"/"AFRICAM"/"9A"/"International Studies"/"Advanced Wolof"/4
"77"/"AFRICAM"/"9B"/"International Studies"/"Advanced Wolof"/4
"78"/"AFRICAM"/"C133A"/"Social and Behavioral Sciences"/"Race, Identity, and Culture in Urban Schools"/3
"79"/"AFRICAM"/"C134"/"Social and Behavioral Sciences"/"Information Technology and Society"/4
"80"/"AFRICAM"/"C178"/"Social and Behavioral Sciences"/"Cultural Studies"/4
"81"/"AFRICAM"/"C178"/"Historical Studies"/"Cultural Studies"/4
"82"/"AFRICAM"/"W111"/"Social and Behavioral Sciences"/"Race, Class, and Gender"/3
"83"/"AFRICAM"/"W111"/"Historical Studies"/"Race, Class, and Gender"/3
"84"/"AFRICAM"/"11A"/NA/"Elementary Swahili"/4
"85"/"AFRICAM"/"11B"/NA/"Elementary Swahili"/4
"86"/"AFRICAM"/"13A"/NA/"Elementary Zulu"/4
"87"/"AFRICAM"/"13B"/NA/"Elementary Zulu"/4
"88"/"AFRICAM"/"142AC"/NA/"Race and American Film"/4
"89"/"AFRICAM"/"153C"/NA/"Novels of Toni Morrison"/3
"90"/"AFRICAM"/"156AC"/NA/"Poetry for the People: Introduction to the Art of Poetry"/4
"91"/"AFRICAM"/"194A"/NA/"African American Theme Program Seminar"/2
"92"/"AFRICAM"/"194B"/NA/"African American Theme Program Seminar"/2
"93"/"AFRICAM"/"195"/NA/"Senior Capstone"/3
"94"/"AFRICAM"/"197"/NA/"Field Study in African American Life"/1
"95"/"AFRICAM"/"198"/NA/"Directed Group Studies for Undergraduates"/1
"96"/"AFRICAM"/"198BC"/NA/"Berkeley Connect"/1
"97"/"AFRICAM"/"199"/NA/"Supervised Independent Study and Research"/1
"98"/"AFRICAM"/"201A"/NA/"Interdisciplinary Research Methods"/4
"99"/"AFRICAM"/"201B"/NA/"Qualitative Research Methods for African American Studies"/4
"100"/"AFRICAM"/"201D"/NA/"Theories of the African Diaspora"/4
"101"/"AFRICAM"/"24"/NA/"Freshman Seminars"/1
"102"/"AFRICAM"/"240"/NA/"Special Topics in Cultural Studies of the Diaspora"/1
"103"/"AFRICAM"/"241"/NA/"Special Topics in Development Studies of the Diaspora"/1
"104"/"AFRICAM"/"242"/NA/"Special Topics in African Linguistics"/4
"105"/"AFRICAM"/"250"/NA/"Black Intellectuals: Social and Cultural Roles"/4
"106"/"AFRICAM"/"256B"/NA/"Diaspora, Citizenship, and Transnationality"/4
"107"/"AFRICAM"/"257A"/NA/"Identity Politics in the Caribbean and Africa"/4
"108"/"AFRICAM"/"257B"/NA/"Power, Domination, and Ideology"/4
"109"/"AFRICAM"/"262"/NA/"Black Feminist Criticism"/4
"110"/"AFRICAM"/"27AC"/NA/"Lives of Struggle: Minorities in a Majority Culture"/3
"111"/"AFRICAM"/"28AC"/NA/"Globalization and Minority American Communities"/3
"112"/"AFRICAM"/"296"/NA/"Directed Dissertation Research"/1
"113"/"AFRICAM"/"298"/NA/"Master's Examination Preparation Course"/4
"114"/"AFRICAM"/"299"/NA/"Individual Study or Research"/1
"115"/"AFRICAM"/"30A"/NA/"Elementary Chichewa"/4
"116"/"AFRICAM"/"30B"/NA/"Elementary Chichewa"/4
"117"/"AFRICAM"/"31A"/NA/"Intermediate Chichewa"/4
"118"/"AFRICAM"/"31B"/NA/"Intermediate Chichewa"/4
"119"/"AFRICAM"/"39E"/NA/"Freshman/Sophmore Seminar"/2
"120"/"AFRICAM"/"39F"/NA/"Freshman/Sophmore Seminar"/2
"121"/"AFRICAM"/"39G"/NA/"Freshman/Sophmore Seminar"/2
"122"/"AFRICAM"/"601"/NA/"Individual Study for Master's Students"/1
"123"/"AFRICAM"/"602"/NA/"Individual Study for Doctoral Students"/2
"124"/"AFRICAM"/"84"/NA/"Sophomore Seminar"/1
"125"/"AFRICAM"/"98"/NA/"Directed Group Studies for Freshmen and Sophomores"/1
"126"/"AFRICAM"/"98BC"/NA/"Berkeley Connect"/1
"127"/"AFRICAM"/"99"/NA/"Supervised Independent Studies for Freshmen and Sophomores"/1
"128"/"AFRICAM"/"C143A"/NA/"Performance: An African American Perspective"/3
"129"/"AFRICAM"/"C143B"/NA/"Research-to-Performance Laboratory"/3
"130"/"AFRICAM"/"C143C"/NA/"Black Theatre Workshop"/3
"131"/"AFRICAM"/"C156"/NA/"Race, Space, and Inequality"/4
"132"/"AFRICAM"/"C265"/NA/"Research Advances in Race, Diversity, and Educational Policy"/3
"133"/"AFRICAM"/"C286"/NA/"The Education of African-American Students"/3
"134"/"AFRICAM"/"C375"/NA/"Critical Pedagogy: Instructor Training"/4
"135"/"AFRICAM"/"H195A"/NA/"Senior Honors Thesis"/3
"136"/"AFRICAM"/"H195B"/NA/"Senior Honors Thesis"/3
"137"/"AFRICAM"/"N131"/NA/"Caribbean Societies and Cultures"/3
"138"/"AFRICAM"/"N150B"/NA/"Survey of African American Literary Forms and Styles 1920 to 1980"/3
"139"/"AFRICAM"/"N4A"/NA/"Africa: History and Culture"/3
"140"/"AFRICAM"/"R1A"/NA/"Freshman Composition"/4
"141"/"AFRICAM"/"R1AN"/NA/"Reading and Composition"/3
"142"/"AFRICAM"/"R1B"/NA/"Freshman Composition"/4
"143"/"AFRICAM"/"W124"/NA/"The Philosophy of Martin Luther King"/3
"144"/"AMERSTD"/"10"/"Social and Behavioral Sciences"/"Introduction to American Studies"/4
"145"/"AMERSTD"/"10"/"Historical Studies"/"Introduction to American Studies"/4
"146"/"AMERSTD"/"101"/NA/"Examining U.S. Cultures in Time"/4
"147"/"AMERSTD"/"102"/NA/"Examining U.S. Cultures in Place"/4
"148"/"AMERSTD"/"10AC"/"Social and Behavioral Sciences"/"Introduction to American Studies"/4
"149"/"AMERSTD"/"10AC"/"Historical Studies"/"Introduction to American Studies"/4
"150"/"AMERSTD"/"110"/NA/"Special Topics in American Studies"/3
"151"/"AMERSTD"/"121"/NA/"Photography in America"/4
"152"/"AMERSTD"/"138AC"/NA/"From Civil Rights Era to the New Gilded Age: Struggles for Racial Equality and Economic Equity from 'Double Victory' to 'Occupy'"/4
"153"/"AMERSTD"/"139AC"/"Historical Studies"/"Civil Rights and Social Movements in U.S. History"/4
"154"/"AMERSTD"/"139AC"/"Social and Behavioral Sciences"/"Civil Rights and Social Movements in U.S. History"/4
"155"/"AMERSTD"/"179AC"/"Social and Behavioral Sciences"/"Representing Race and Ethnicity in American Culture"/3
"156"/"AMERSTD"/"180A"/NA/"Advertising America"/1
"157"/"AMERSTD"/"180C"/NA/"The Politics of Advertising in the United States: Race, Ethnicity and Representation"/1
"158"/"AMERSTD"/"180D"/NA/"Race and American Humor"/1
"159"/"AMERSTD"/"181A"/NA/"American Painting at the Fine Arts Museums of San Francisco"/1
"160"/"AMERSTD"/"181B"/NA/"Visual Culture in American Society: Photography and Art"/1
"161"/"AMERSTD"/"182A"/NA/"American Journeys"/1
"162"/"AMERSTD"/"183A"/NA/"American Autobiographies"/1
"163"/"AMERSTD"/"183B"/NA/"The Beats in San Francisco"/1
"164"/"AMERSTD"/"183E"/NA/"The Woman's Frontier"/1
"165"/"AMERSTD"/"185A"/NA/"American Studies on the Internet"/1
"166"/"AMERSTD"/"186A"/NA/"Indians of California"/1
"167"/"AMERSTD"/"186B"/NA/"Native American Autobiographies"/1
"168"/"AMERSTD"/"186C"/NA/"Native American Literature"/1
"169"/"AMERSTD"/"188A"/NA/"Caribbean Arts and Cultures: The Carnival"/1
"170"/"AMERSTD"/"189"/NA/"Research and Writing in American Studies"/1
"171"/"AMERSTD"/"190"/NA/"Senior Thesis"/4
"172"/"AMERSTD"/"191"/NA/"Senior Seminar"/4
"173"/"AMERSTD"/"5"/NA/"Keywords in American Studies"/1
"174"/"AMERSTD"/"C10"/"Historical Studies"/"Introduction to American Studies: Hollywood: the Place, the Industry, the Fantasy"/4
"175"/"AMERSTD"/"C112A"/"Historical Studies"/"American Cultural Landscapes, 1600 to 1900"/4
"176"/"AMERSTD"/"C112A"/"Social and Behavioral Sciences"/"American Cultural Landscapes, 1600 to 1900"/4
"177"/"AMERSTD"/"C112B"/"Social and Behavioral Sciences"/"American Cultural Landscapes, 1900 to Present"/4
"178"/"AMERSTD"/"C112B"/"Historical Studies"/"American Cultural Landscapes, 1900 to Present"/4
"179"/"AMERSTD"/"C112F"/"Social and Behavioral Sciences"/"The American Forest: Its Ecology, History, and Representation"/4
"180"/"AMERSTD"/"C112F"/"Historical Studies"/"The American Forest: Its Ecology, History, and Representation"/4
"181"/"AMERSTD"/"C115"/NA/"The American Detective in Fiction, Film, and Television"/4
"182"/"AMERSTD"/"C132B"/"Social and Behavioral Sciences"/"Intellectual History of the United States since 1865"/4
"183"/"AMERSTD"/"C132B"/"Historical Studies"/"Intellectual History of the United States since 1865"/4
"184"/"AMERSTD"/"C132B"/"Philosophy and Values"/"Intellectual History of the United States since 1865"/4
"185"/"AMERSTD"/"C134"/"Social and Behavioral Sciences"/"Information Technology and Society"/4
"186"/"AMERSTD"/"C152"/NA/"Native American Literature"/4
"187"/"AMERSTD"/"C168"/NA/"Native American Novelists"/1
"188"/"AMERSTD"/"C171"/"Social and Behavioral Sciences"/"The American Designed Landscape Since 1850"/3
"189"/"AMERSTD"/"C171"/"Historical Studies"/"The American Designed Landscape Since 1850"/3
"190"/"AMERSTD"/"C172"/"Historical Studies"/"History of American Business"/3
"191"/"AMERSTD"/"C172"/"Social and Behavioral Sciences"/"History of American Business"/3
"192"/"AMERSTD"/"C174"/NA/"Visual Autobiography"/4
"193"/"AMERSTD"/"101AC"/NA/"Examining U.S. Cultures in Time"/4
"194"/"AMERSTD"/"110AC"/NA/"Special Topics in American Studies--American Cultures"/3
"195"/"AMERSTD"/"130Y"/NA/"Tribal Sovereignty"/1
"196"/"AMERSTD"/"131Y"/NA/"Native American Indian Literatures"/1
"197"/"AMERSTD"/"132Y"/NA/"Native American Indian Autobiographies"/1
"198"/"AMERSTD"/"133Y"/NA/"Native America Today"/1
"199"/"AMERSTD"/"134Y"/NA/"American Painting at the Fine Arts Museums of San Francisco"/1
"200"/"AMERSTD"/"135Y"/NA/"The Beats in San Francisco"/1
"201"/"AMERSTD"/"136Y"/NA/"A Sense of Place: Four American Worlds"/1
"202"/"AMERSTD"/"137Y"/NA/"Changing Media in American Society"/1
"203"/"AMERSTD"/"138Y"/NA/"Advertising and the Culture of Consumption: Gender and Race in Commercial Representations of the Self"/1
"204"/"AMERSTD"/"139Y"/NA/"The Western Film"/1
"205"/"AMERSTD"/"140Y"/NA/"American Film Noir"/1
"206"/"AMERSTD"/"141Y"/NA/"San Francisco and the Bay Area: The View from the Street"/1
"207"/"AMERSTD"/"142Y"/NA/"Community Development in the Bay Area"/1
"208"/"AMERSTD"/"170AC"/NA/"Race and Representation in US Culture"/3
"209"/"AMERSTD"/"178AC"/NA/"Race and Ethnicity in American Culture: Film, Music, and Advertising"/3
"210"/"AMERSTD"/"180B"/NA/"Advertising and the Culture of Consumption: Gender and Race in Commercial Representations of the Self"/1
"211"/"AMERSTD"/"182B"/NA/"Chinatown in History and in American Imagination"/1
"212"/"AMERSTD"/"182C"/NA/"Community Development in the Bay Area"/1
"213"/"AMERSTD"/"182D"/NA/"Island of History: Angel Island, California"/1
"214"/"AMERSTD"/"182E"/NA/"San Francisco and the Bay Area: The View from the Street"/1
"215"/"AMERSTD"/"182F"/NA/"San Francisco Chinatown"/1
"216"/"AMERSTD"/"182G"/NA/"Alcatraz: Conquest, Containment, and Contestation"/1
"217"/"AMERSTD"/"183C"/NA/"The Fiction of F. Scott Fitzgerald"/1
"218"/"AMERSTD"/"183D"/NA/"Three African American Classics"/1
"219"/"AMERSTD"/"184A"/NA/"African Americans and the Media"/1
"220"/"AMERSTD"/"184B"/NA/"American Film Noir"/1
"221"/"AMERSTD"/"184C"/NA/"Asians and the Cinema"/1
"222"/"AMERSTD"/"184D"/NA/"The Celluloid Sixties"/1
"223"/"AMERSTD"/"184E"/NA/"Changing Media in American Society"/1
"224"/"AMERSTD"/"184F"/NA/"Murder and the Media"/1
"225"/"AMERSTD"/"184G"/NA/"Nature and the Media"/1
"226"/"AMERSTD"/"184H"/NA/"The Western Film"/1
"227"/"AMERSTD"/"184I"/NA/"Race and American Film"/1
"228"/"AMERSTD"/"186D"/NA/"Native American Novelists"/1
"229"/"AMERSTD"/"186E"/NA/"Native American Philosophies"/1
"230"/"AMERSTD"/"186F"/NA/"Native America Today"/1
"231"/"AMERSTD"/"186G"/NA/"Tribal Sovereignty"/1
"232"/"AMERSTD"/"187A"/NA/"California Contemporary Immigration"/1
"233"/"AMERSTD"/"187B"/NA/"European Images of America"/1
"234"/"AMERSTD"/"187C"/NA/"In Search of America"/1
"235"/"AMERSTD"/"187D"/NA/"Narratives of Justice"/1
"236"/"AMERSTD"/"188B"/NA/"Walt Disney's America"/1
"237"/"AMERSTD"/"188C"/NA/"Food Culture in America"/1
"238"/"AMERSTD"/"188D"/NA/"San Francisco Detectives"/1
"239"/"AMERSTD"/"188E"/NA/"Sports: A Lens on American Culture"/1
"240"/"AMERSTD"/"188F"/NA/"American Popular Music"/1
"241"/"AMERSTD"/"188G"/NA/"American Popular Culture: Shopping and American Consumerism"/1
"242"/"AMERSTD"/"188H"/NA/"Contemporary Asian American Culture"/1
"243"/"AMERSTD"/"188I"/NA/"American Indians and Pop Culture"/1
"244"/"AMERSTD"/"188J"/NA/"Comic Book Nation: Comic Books, Superheroes, and American Popular Culture"/1
"245"/"AMERSTD"/"188K"/NA/"American Horrors: Monsters in U.S. Cinema and Literature"/1
"246"/"AMERSTD"/"198"/NA/"Directed Group Study for Advanced Undergraduates"/1
"247"/"AMERSTD"/"199"/NA/"Supervised Independent Study and Research for Upper Division Majors"/1
"248"/"AMERSTD"/"24"/NA/"Freshman Seminar"/1
"249"/"AMERSTD"/"300"/NA/"Teaching Interdisciplinary American Studies"/2
"250"/"AMERSTD"/"98"/NA/"Directed Group Study"/1
"251"/"AMERSTD"/"99"/NA/"Supervised Independent Study and Research"/1
"252"/"AMERSTD"/"C111A"/NA/"Architecture in Depression and War"/4
"253"/"AMERSTD"/"C111E"/NA/"Topics in American Studies"/4
"254"/"AMERSTD"/"C186E"/NA/"Native American Philosophies"/1
"255"/"AMERSTD"/"C186H"/NA/"Museums and Sacred Sites"/1
"256"/"AMERSTD"/"C186I"/NA/"Native American Poetry"/1
"257"/"AMERSTD"/"C186J"/NA/"Imagining the Other"/1
"258"/"AMERSTD"/"H110"/NA/"Honors Seminar: Special Topics in American Studies"/3
"259"/"AMERSTD"/"H195"/NA/"Honors Thesis"/4
"260"/"ANTHRO"/"1"/"Biological Science"/"Introduction to Biological Anthropology"/4
"261"/"ANTHRO"/"1"/"Social and Behavioral Sciences"/"Introduction to Biological Anthropology"/4
"262"/"ANTHRO"/"105"/"Biological Science"/"Primate Evolution"/4
"263"/"ANTHRO"/"106"/"Biological Science"/"Primate Behavior"/4
"264"/"ANTHRO"/"106"/"Social and Behavioral Sciences"/"Primate Behavior"/4
"265"/"ANTHRO"/"107"/"Biological Science"/"Evolution of the Human Brain"/4
"266"/"ANTHRO"/"10AC"/"Historical Studies"/"The California Frontier"/4
"267"/"ANTHRO"/"10AC"/"Social and Behavioral Sciences"/"The California Frontier"/4
"268"/"ANTHRO"/"110"/NA/"Theory and Method in Physical Anthropology"/4
"269"/"ANTHRO"/"111"/NA/"Evolution of Human Behavior"/4
"270"/"ANTHRO"/"112"/NA/"Special Topics in Biological Anthropology"/4
"271"/"ANTHRO"/"114"/"Social and Behavioral Sciences"/"History of Anthropological Thought"/4
"272"/"ANTHRO"/"114"/"Historical Studies"/"History of Anthropological Thought"/4
"273"/"ANTHRO"/"115"/NA/"Introduction to Medical Anthropology"/4
"274"/"ANTHRO"/"116"/NA/"Environmental Effects on Human Health and Disease"/4
"275"/"ANTHRO"/"117"/NA/"The Anthropology of Aging and the Life Course"/4
"276"/"ANTHRO"/"119"/NA/"Special Topics in Medical Anthropology"/4
"277"/"ANTHRO"/"121A"/"Historical Studies"/"Historical Archaeology: American Material Culture"/4
"278"/"ANTHRO"/"121A"/"Social and Behavioral Sciences"/"Historical Archaeology: American Material Culture"/4
"279"/"ANTHRO"/"121AC"/"Social and Behavioral Sciences"/"American Material Culture"/4
"280"/"ANTHRO"/"121AC"/"Historical Studies"/"American Material Culture"/4
"281"/"ANTHRO"/"121B"/"Social and Behavioral Sciences"/"Historical Archaeology: Theoretical Approaches in American Historical Archaeology"/4
"282"/"ANTHRO"/"121B"/"Historical Studies"/"Historical Archaeology: Theoretical Approaches in American Historical Archaeology"/4
"283"/"ANTHRO"/"122A"/"Social and Behavioral Sciences"/"Archaeology of the Americas: Archaeology of North America"/4
"284"/"ANTHRO"/"122A"/"Historical Studies"/"Archaeology of the Americas: Archaeology of North America"/4
"285"/"ANTHRO"/"122B"/NA/"Culture Contact in North America"/4
"286"/"ANTHRO"/"122C"/"Historical Studies"/"Archaeology of the Americas: Archaeology of Central America"/4
"287"/"ANTHRO"/"122C"/"Social and Behavioral Sciences"/"Archaeology of the Americas: Archaeology of Central America"/4
"288"/"ANTHRO"/"122E"/"Social and Behavioral Sciences"/"Archaeology of the Americas: Andean Archaeology: People of the Andes"/4
"289"/"ANTHRO"/"122E"/"Historical Studies"/"Archaeology of the Americas: Andean Archaeology: People of the Andes"/4
"290"/"ANTHRO"/"122F"/"Social and Behavioral Sciences"/"Archaeology of the Americas: California Archaeology"/4
"291"/"ANTHRO"/"122F"/"Historical Studies"/"Archaeology of the Americas: California Archaeology"/4
"292"/"ANTHRO"/"123E"/"Social and Behavioral Sciences"/"Old World Cultures: Mediterranean Archaeology"/4
"293"/"ANTHRO"/"123E"/"Historical Studies"/"Old World Cultures: Mediterranean Archaeology"/4
"294"/"ANTHRO"/"124A"/"Social and Behavioral Sciences"/"Pacific Cultures: Archaeology of the South Pacific"/4
"295"/"ANTHRO"/"124A"/"Historical Studies"/"Pacific Cultures: Archaeology of the South Pacific"/4
"296"/"ANTHRO"/"124B"/NA/"Hawaiian Ethnohistory"/4
"297"/"ANTHRO"/"128"/NA/"Special Topics in Archaeology"/4
"298"/"ANTHRO"/"128A"/NA/"Special Topics in Archaeology/Area"/4
"299"/"ANTHRO"/"129A"/"Social and Behavioral Sciences"/"Topical Areas in Archaeology: Prehistoric Art"/4
"300"/"ANTHRO"/"129A"/"Historical Studies"/"Topical Areas in Archaeology: Prehistoric Art"/4
"301"/"ANTHRO"/"130"/NA/"History and Theory of Archaeology"/4
"302"/"ANTHRO"/"134"/NA/"Analysis of the Archaeological Record"/4
"303"/"ANTHRO"/"134A"/NA/"Field Course in Archaeological Methods"/6
"304"/"ANTHRO"/"134B"/NA/"Archaeological Laboratory Practicum"/1
"305"/"ANTHRO"/"135"/NA/"Paleoethnobotany: Archaeological Methods and Laboratory Techniques"/4
"306"/"ANTHRO"/"135B"/NA/"Environmental Archaeology"/4
"307"/"ANTHRO"/"136A"/NA/"Museum Exhibit Curation and Design"/4
"308"/"ANTHRO"/"136B"/NA/"Public Anthropology: Museum Methods"/4
"309"/"ANTHRO"/"136C"/NA/"Multimedia Authoring Part 1"/4
"310"/"ANTHRO"/"136G"/"International Studies"/"Cultural Policy: Cultural Heritage and Cultural Diplomacy"/4
"311"/"ANTHRO"/"137"/NA/"Energy, Culture and Social Organization"/4
"312"/"ANTHRO"/"139"/NA/"Controlling Processes"/4
"313"/"ANTHRO"/"140"/NA/"The Anthropology of Food"/4
"314"/"ANTHRO"/"141"/NA/"Comparative Society"/4
"315"/"ANTHRO"/"142"/NA/"Kinship and Family"/4
"316"/"ANTHRO"/"145"/NA/"Urban Anthropology"/4
"317"/"ANTHRO"/"147A"/NA/"Anthropology of Gender"/4
"318"/"ANTHRO"/"148"/NA/"Anthropology of the Environment"/4
"319"/"ANTHRO"/"149"/NA/"Psychological Anthropology"/4
"320"/"ANTHRO"/"15"/NA/"Seminar in Physical Anthropology"/3
"321"/"ANTHRO"/"150"/"Philosophy and Values"/"Utopia: Art and Power in Modern Times"/4
"322"/"ANTHRO"/"150"/"Social and Behavioral Sciences"/"Utopia: Art and Power in Modern Times"/4
"323"/"ANTHRO"/"151"/NA/"Disability and Culture"/4
"324"/"ANTHRO"/"152"/"Social and Behavioral Sciences"/"Art and Culture"/4
"325"/"ANTHRO"/"152"/"International Studies"/"Art and Culture"/4
"326"/"ANTHRO"/"155"/NA/"Modernity"/4
"327"/"ANTHRO"/"156"/NA/"Anthropology of the Contemporary"/4
"328"/"ANTHRO"/"156A"/NA/"Politics and Anthropology"/4
"329"/"ANTHRO"/"157"/NA/"Anthropology of Law"/4
"330"/"ANTHRO"/"158"/"Social and Behavioral Sciences"/"Religion and Anthropology"/4
"331"/"ANTHRO"/"158"/"Philosophy and Values"/"Religion and Anthropology"/4
"332"/"ANTHRO"/"160AC"/"Social and Behavioral Sciences"/"Forms of Folklore"/4
"333"/"ANTHRO"/"161"/NA/"Narrative Folklore"/4
"334"/"ANTHRO"/"162"/NA/"Topics in Folklore"/4
"335"/"ANTHRO"/"166"/NA/"Language, Culture, and Society"/4
"336"/"ANTHRO"/"169A"/NA/"Data Analysis and Computational Methods"/4
"337"/"ANTHRO"/"170"/"Social and Behavioral Sciences"/"China"/4
"338"/"ANTHRO"/"170"/"International Studies"/"China"/4
"339"/"ANTHRO"/"171"/"International Studies"/"Japan"/4
